Name,Postcode,Workers_count,Latitude,Longitude
"Postcode 41, RM2 5NP",RM2 5NP,14,51.58747,0.194553025
"Postcode 42, W9 1JR",W9 1JR,3,51.529462,-0.186476976
"Postcode 43, N7 9LD",N7 9LD,44,51.549575,-0.125603976
"Postcode 44, WC1X 0GB",WC1X 0GB,64,51.528043,-0.110816988
"Postcode 45, W1K 6LE",W1K 6LE,15,51.512228,-0.152198975
"Postcode 46, CR4 4GL",CR4 4GL,4,51.398567,-0.174899975
"Postcode 47, RM11 3BJ",RM11 3BJ,77,51.573179,0.235067025
"Postcode 48, RM14 1AU",RM14 1AU,104,51.566979,0.255847024
"Postcode 49, RM7 0AA",RM7 0AA,1,51.572442,0.180091025
"Postcode 50, RM7 8BE",RM7 8BE,1,51.583999,0.161589025
"Postcode 51, W9 2DB",W9 2DB,4,51.526025,-0.195652975
"Postcode 52, W9 2HX",W9 2HX,15,51.523694,-0.197892975
"Postcode 53, N6 5TP",N6 5TP,3,51.574636,-0.139696989
"Postcode 54, SE1 8DS",SE1 8DS,18,51.505536,-0.108087976
"Postcode 55, SE1 8LF",SE1 8LF,140,51.503032,-0.106736975
"Postcode 56, EC2N 4BQ",EC2N 4BQ,29,51.51452,-0.083044976
"Postcode 57, W12 8EN",W12 8EN,33,51.50131,-0.231424976
"Postcode 58, WC2A 3RJ",WC2A 3RJ,118,51.515184,-0.113020976
"Postcode 59, CR0 6BR",CR0 6BR,3,51.378117,-0.088529976
"Postcode 60, WC2H 8JL",WC2H 8JL,14,51.515392,-0.126574976
"Postcode 61, WC2R 0LP",WC2R 0LP,5,51.510522,-0.122238976
"Postcode 62, W8 6BA",W8 6BA,66,51.499585,-0.196091976
"Postcode 63, DA1 4LR",DA1 4LR,18,51.45489,0.193314025
"Postcode 64, DA1 4AW",DA1 4AW,17,51.449613,0.186959024
"Postcode 65, EC4A 2AL",EC4A 2AL,1,51.514316,-0.104956988
"Postcode 66, E1 7LG",E1 7LG,341,51.517041,-0.076780988
"Postcode 67, E1 8EW",E1 8EW,220,51.514151,-0.071123975
"Postcode 68, UB1 2HN",UB1 2HN,16,51.522531,-0.364586989
"Postcode 69, W8 5SL",W8 5SL,836,51.500597,-0.192881976
"Postcode 70, UB3 4ND",UB3 4ND,10,51.501998,-0.425446988
"Postcode 71, N20 0HD",N20 0HD,1,51.62992,-0.178023976
"Postcode 72, E2 9DP",E2 9DP,1,51.53448,-0.054491976
"Postcode 73, E1 1FQ",E1 1FQ,5,51.513027,-0.066604988
"Postcode 74, E11 1UJ",E11 1UJ,27,51.584474,0.026459012
"Postcode 75, E16 3RG",E16 3RG,3,51.510201,0.042703025
"Postcode 76, EC1Y 8ST",EC1Y 8ST,24,51.524205,-0.092538976
"Postcode 77, E14 0LG",E14 0LG,14,51.511423,0.005244024
"Postcode 78, E14 3HG",E14 3HG,1,51.495903,-0.011226976
"Postcode 79, E16 1EE",E16 1EE,19,51.513284,0.011566024
"Postcode 80, E16 1HH",E16 1HH,2,51.517292,0.013314025
"Postcode 81, E1W 1LA",E1W 1LA,182,51.506377,-0.071941987
"Postcode 82, E3 3HG",E3 3HG,1,51.527438,-0.017969988
"Postcode 83, E17 8PX",E17 8PX,32,51.579799,-0.020469975
"Postcode 84, SW11 3FU",SW11 3FU,1,51.472196,-0.177521988
"Postcode 85, SW11 3QA",SW11 3QA,87,51.470166,-0.173067976
"Postcode 86, E4 9GA",E4 9GA,22,51.608256,-0.003160989
"Postcode 87, E4 9FA",E4 9FA,75,51.620345,-0.008061975
"Postcode 88, E6 1HW",E6 1HW,32,51.535022,0.051874025
"Postcode 89, E6 1HB",E6 1HB,4,51.53498,0.044099025
"Postcode 90, WC2B 4NA",WC2B 4NA,3,51.512553,-0.118332988
"Postcode 91, E8 3AZ",E8 3AZ,163,51.546094,-0.072830976
"Postcode 92, EC1A 4HT",EC1A 4HT,5139,51.51814,-0.097176988
"Postcode 93, EC1V 0DG",EC1V 0DG,63,51.523629,-0.100695988
"Postcode 94, EC1V 0EU",EC1V 0EU,29,51.52497,-0.100939976
"Postcode 95, SW19 8BH",SW19 8BH,5,51.439106,-0.198763976
"Postcode 96, SW19 8HQ",SW19 8HQ,41,51.429612,-0.191310976
"Postcode 97, TW8 9LH",TW8 9LH,12,51.49547,-0.324224988
"Postcode 98, EN5 3HW",EN5 3HW,78,51.654349,-0.245119976
"Postcode 99, W1D 3SS",W1D 3SS,3,51.51471,-0.133434976
"Postcode 100, W1D 3BF",W1D 3BF,6,51.514264,-0.132515975
"Postcode 101, W1D 6AX",W1D 6AX,2,51.511909,-0.131487976
"Postcode 102, W1D 6JJ",W1D 6JJ,12,51.511568,-0.132106975
"Postcode 103, W1F 8QJ",W1F 8QJ,9,51.515174,-0.137162975
"Postcode 104, W1G 9SF",W1G 9SF,2,51.51683,-0.147472975
"Postcode 105, W1U 1EG",W1U 1EG,15,51.514734,-0.150295975
"Postcode 106, W1H 6AZ",W1H 6AZ,719,51.516701,-0.154684975
"Postcode 107, W1J 0NX",W1J 0NX,2,51.509375,-0.140655976
"Postcode 108, W1K 1QA",W1K 1QA,376,51.507404,-0.152494975
"Postcode 109, W1S 1FS",W1S 1FS,206,51.512912,-0.143077988
"Postcode 110, W1S 2SF",W1S 2SF,5,51.512246,-0.144185988
"Postcode 111, W1S 2XH",W1S 2XH,57,51.512605,-0.141907976
"Postcode 112, W1T 5LE",W1T 5LE,1,51.52419,-0.138639975
"Postcode 113, DA17 5JF",DA17 5JF,47,51.483399,0.147079024
"Postcode 114, WC2H 9JN",WC2H 9JN,42,51.513149,-0.126799975
"Postcode 115, DA5 1BJ",DA5 1BJ,1,51.442054,0.152694024
"Postcode 116, DA6 8AH",DA6 8AH,156,51.458337,0.133710025
"Postcode 117, W1W 6TR",W1W 6TR,8,51.520276,-0.140774975
"Postcode 118, E1 8AT",E1 8AT,157,51.511017,-0.073561975
"Postcode 119, W2 3QE",W2 3QE,4,51.51246,-0.179672976
"Postcode 120, W3 7QY",W3 7QY,3,51.506045,-0.248451988
"Postcode 121, E2 7LF",E2 7LF,5,51.526838,-0.074306975
"Postcode 122, RM13 9UL",RM13 9UL,113,51.511995,0.178920025
"Postcode 123, EC1V 7PQ",EC1V 7PQ,1,51.529639,-0.100500975
"Postcode 124, SW16 1UA",SW16 1UA,3,51.426976,-0.140636975
"Postcode 125, E8 4LY",E8 4LY,20,51.539372,-0.065862988
"Postcode 126, EC2Y 5JU",EC2Y 5JU,258,51.517285,-0.096029975
"Postcode 127, SW4 6BE",SW4 6BE,8,51.46294,-0.136857976
"Postcode 128, W3 9JS",W3 9JS,1,51.512292,-0.274354989
"Postcode 129, SM2 5NG",SM2 5NG,299,51.34614,-0.194599976
"Postcode 130, SM2 5SX",SM2 5SX,3,51.342701,-0.198481976
"Postcode 131, SM3 8BH",SM3 8BH,75,51.358178,-0.216719976
"Postcode 132, SM3 9QW",SM3 9QW,6,51.376118,-0.209010976
"Postcode 133, SW6 4EN",SW6 4EN,31,51.4726,-0.203837976
"Postcode 134, SE1 7EH",SE1 7EH,5171,51.497959,-0.118904975
"Postcode 135, SW15 4AB",SW15 4AB,1,51.447951,-0.238739976
"Postcode 136, KT1 1BQ",KT1 1BQ,67,51.409108,-0.305556976
"Postcode 137, KT1 1QT",KT1 1QT,117,51.411387,-0.300870976
"Postcode 138, W1T 2LU",W1T 2LU,4,51.51844,-0.134477976
"Postcode 139, HA2 8HN",HA2 8HN,45,51.56464,-0.352796976
"Postcode 140, WC1X 8BT",WC1X 8BT,58,51.520498,-0.112469987
"Postcode 141, EN2 6SN",EN2 6SN,433,51.651256,-0.083493976
"Postcode 142, SW8 3RH",SW8 3RH,18,51.46991,-0.149949976
"Postcode 143, NW4 4EN",NW4 4EN,1,51.589075,-0.223687975
"Postcode 144, NW4 4BQ",NW4 4BQ,22,51.588589,-0.228960975
"Postcode 145, NW9 8YG",NW9 8YG,8,51.583546,-0.267075976
"Postcode 146, TW9 1PG",TW9 1PG,14,51.461694,-0.310389976
"Postcode 147, NW5 2DN",NW5 2DN,10,51.548575,-0.134543988
"Postcode 148, IG11 0QH",IG11 0QH,58,51.528228,0.108935013
"Postcode 149, IG1 2FS",IG1 2FS,6,51.557402,0.070482012
"Postcode 150, IG2 7DS",IG2 7DS,11,51.570993,0.085643025
"Postcode 151, IG2 7JY",IG2 7JY,144,51.574518,0.086586025
"Postcode 152, IG3 9QR",IG3 9QR,3,51.563637,0.112694025
"Postcode 153, SW14 7PY",SW14 7PY,5,51.463049,-0.271974976
"Postcode 154, W1G 6BQ",W1G 6BQ,10,51.522625,-0.148880975
"Postcode 155, RM5 3PS",RM5 3PS,5,51.599329,0.164038025
"Postcode 156, EC3M 6AL",EC3M 6AL,339,51.51169,-0.083235976
"Postcode 157, SE6 4TT",SE6 4TT,136,51.449125,-0.019290976
"Postcode 158, SE6 4RU",SE6 4RU,1880,51.445202,-0.021331975
"Postcode 159, SE8 3JB",SE8 3JB,2,51.482828,-0.026702975
"Postcode 160, SE8 3DE",SE8 3DE,40,51.48158,-0.021963975
"Postcode 161, KT3 4QF",KT3 4QF,1416,51.405423,-0.257848976
"Postcode 162, W1D 7EE",W1D 7EE,11,51.510607,-0.134408989
"Postcode 163, W1D 7PF",W1D 7PF,3,51.511952,-0.133633988
"Postcode 164, NW9 5AA",NW9 5AA,7,51.596515,-0.242989976
"Postcode 165, NW9 5EL",NW9 5EL,5,51.592914,-0.253325975
"Postcode 166, RM7 0HL",RM7 0HL,310,51.5702,0.165192025
"Postcode 167, CR0 8RG",CR0 8RG,21,51.374372,-0.045781975
"Postcode 168, EC1M 6BY",EC1M 6BY,1,51.520295,-0.104726976
"Postcode 169, W1B 4HT",W1B 4HT,15,51.510834,-0.138942976
"Postcode 170, EC2A 3BR",EC2A 3BR,3,51.522313,-0.080655987
"Postcode 171, E1 6PS",E1 6PS,56,51.516798,-0.073504976
"Postcode 172, E1 6SF",E1 6SF,1,51.52189,-0.073592976
"Postcode 173, EC1N 8LY",EC1N 8LY,4,51.518541,-0.108168975
"Postcode 174, EC1M 5RF",EC1M 5RF,19,51.522676,-0.102548975
"Postcode 175, CR0 0JW",CR0 0JW,8,51.342453,-0.016713976
"Postcode 176, E1 5HZ",E1 5HZ,358,51.519883,-0.066833976
"Postcode 177, N11 2PP",N11 2PP,31,51.605344,-0.122657976
"Postcode 178, W1F 9NZ",W1F 9NZ,41,51.511643,-0.135663987
"Postcode 179, SW11 7BY",SW11 7BY,6,51.482165,-0.134421989
"Postcode 180, KT6 5BZ",KT6 5BZ,27,51.376535,-0.303497975
"Postcode 181, EC3V 3LF",EC3V 3LF,59,51.513736,-0.086417988
"Postcode 182, SE14 6LU",SE14 6LU,292,51.477856,-0.035327976
"Postcode 183, SE1 7GS",SE1 7GS,5,51.490015,-0.122533988
"Postcode 184, NW11 0AL",NW11 0AL,45,51.587934,-0.200086975
"Postcode 185, NW11 7EL",NW11 7EL,3,51.580092,-0.197134975
"Postcode 186, NW1 6SN",NW1 6SN,10,51.521774,-0.165664975
"Postcode 187, N1C 4UR",N1C 4UR,70,51.5341,-0.126054987
"Postcode 188, NW1 7HS",NW1 7HS,86,51.53779,-0.142828976
"Postcode 189, NW1 7EY",NW1 7EY,1,51.538676,-0.144292976
"Postcode 190, SE16 4SA",SE16 4SA,43,51.501249,-0.067950988
"Postcode 191, SE16 4BX",SE16 4BX,14,51.497396,-0.062235988
"Postcode 192, SE18 6QX",SE18 6QX,9,51.49026,0.064485025
"Postcode 193, SE1 1UR",SE1 1UR,22,51.505044,-0.094923988
"Postcode 194, SE1 1NX",SE1 1NX,293,51.504573,-0.089629975
"Postcode 195, SE1 2AA",SE1 2AA,801,51.504851,-0.078692976
"Postcode 196, SW1P 3NQ",SW1P 3NQ,199,51.497146,-0.128147987
"Postcode 197, N12 0DT",N12 0DT,11,51.610571,-0.176443988
"Postcode 198, N12 0DA",N12 0DA,143,51.611464,-0.176061976
"Postcode 199, SE10 0TG",SE10 0TG,26,51.490433,0.003254012
"Postcode 200, SE1 0LX",SE1 0LX,622,51.503755,-0.101936976
"Postcode 201, SE12 9PE",SE12 9PE,12,51.434713,0.025737012
"Postcode 202, SE10 8NJ",SE10 8NJ,26,51.47738,-0.011312976
"Postcode 203, E12 5PP",E12 5PP,5,51.55256,0.055993025
"Postcode 204, SE1 3UF",SE1 3UF,2,51.499352,-0.081113976
"Postcode 205, SE25 4ES",SE25 4ES,5,51.402408,-0.068398976
"Postcode 206, SE4 1BP",SE4 1BP,1,51.471782,-0.032406987
"Postcode 207, SE25 5EX",SE25 5EX,133,51.392648,-0.079156975
"Postcode 208, SE6 2TP",SE6 2TP,50,51.442534,-0.020942976
"Postcode 209, N5 1PW",N5 1PW,1,51.551584,-0.106783976
"Postcode 210, SE11 5HY",SE11 5HY,36,51.486525,-0.119681976
"Postcode 211, IG11 8QA",IG11 8QA,22,51.543502,0.077956025
"Postcode 212, N7 6ER",N7 6ER,80,51.561133,-0.119588988
"Postcode 213, N7 8JP",N7 8JP,28,51.546723,-0.104836976
"Postcode 214, SW1E 6HL",SW1E 6HL,10,51.498923,-0.139885975
"Postcode 215, N9 0TS",N9 0TS,140,51.623559,-0.058887976
"Postcode 216, SW1P 4BZ",SW1P 4BZ,5,51.494022,-0.132521975
"Postcode 217, SW1V 4BE",SW1V 4BE,1,51.485977,-0.146840988
"Postcode 218, SW1W 9TJ",SW1W 9TJ,672,51.491941,-0.148755976
"Postcode 219, SW1X 0AW",SW1X 0AW,9,51.493658,-0.159014975
"Postcode 220, SM1 3TU",SM1 3TU,28,51.383748,-0.190608988
"Postcode 221, SW2 2AL",SW2 2AL,24,51.449815,-0.120167976
"Postcode 222, SW3 4AA",SW3 4AA,51,51.485496,-0.164355976
"Postcode 223, E17 6JG",E17 6JG,12,51.588381,-0.031919976
"Postcode 224, UB7 7ND",UB7 7ND,42,51.50639,-0.469785976
"Postcode 225, SW9 8DR",SW9 8DR,11,51.461923,-0.118774976
"Postcode 226, SW17 7PB",SW17 7PB,44,51.434114,-0.162761975
"Postcode 227, SW17 7EF",SW17 7EF,46,51.444045,-0.167543976
"Postcode 228, SW18 1QW",SW18 1QW,114,51.454076,-0.199728976
"Postcode 229, SW19 5DD",SW19 5DD,12,51.426303,-0.217721976
"Postcode 230, SW19 5ER",SW19 5ER,19,51.427437,-0.220713976
"Postcode 231, SW2 1AS",SW2 1AS,56,51.459047,-0.111032976
"Postcode 232, SW5 0LA",SW5 0LA,28,51.491645,-0.183281976
"Postcode 233, SW5 0RJ",SW5 0RJ,12,51.494201,-0.193898975
"Postcode 234, TW7 4PE",TW7 4PE,1,51.478801,-0.342152976
"Postcode 235, UB5 5AA",UB5 5AA,63,51.546772,-0.370914989
"Postcode 236, W11 3HG",W11 3HG,51,51.510399,-0.197595976
"Postcode 237, EC4N 6HN",EC4N 6HN,237,51.51097,-0.090496989
"Postcode 238, E14 5EA",E14 5EA,11,51.504403,-0.020914976
"Postcode 239, DA1 3QB",DA1 3QB,15,51.4457,0.178799024
"Postcode 240, DA7 6HH",DA7 6HH,1,51.465357,0.159449025
"Postcode 241, N13 4YD",N13 4YD,237,51.617737,-0.109896975
"Postcode 242, SE1 3UH",SE1 3UH,8,51.497338,-0.081702975
"Postcode 243, W1U 2SB",W1U 2SB,27,51.516582,-0.150004988
"Postcode 244, HA8 7EQ",HA8 7EQ,221,51.610214,-0.277056976
"Postcode 245, W1A 2JZ",W1A 2JZ,5,51.524565,-0.112041988
"Postcode 246, W1C 2JU",W1C 2JU,9,51.513971,-0.149822975
"Postcode 247, UB3 4DS",UB3 4DS,51,51.505551,-0.419381988
"Postcode 248, E6 2HN",E6 2HN,22,51.533534,0.054201024
"Postcode 249, SE5 7DN",SE5 7DN,29,51.47539,-0.081859988
"Postcode 250, SE5 7JQ",SE5 7JQ,4,51.479741,-0.091196975
"Postcode 251, SE5 7AP",SE5 7AP,8,51.473964,-0.088716976
"Postcode 252, HA0 2AL",HA0 2AL,56,51.552907,-0.299497976
"Postcode 253, HA2 0XH",HA2 0XH,37,51.570456,-0.364959975
"Postcode 254, HA2 0JQ",HA2 0JQ,10,51.569285,-0.341121975
"Postcode 255, HA5 1HF",HA5 1HF,23,51.590431,-0.380829976
"Postcode 256, HA8 5HY",HA8 5HY,13,51.59943,-0.267279976
"Postcode 257, EC2A 4JA",EC2A 4JA,13,51.523646,-0.082401976
"Postcode 258, EN4 0DU",EN4 0DU,303,51.646909,-0.146568975
"Postcode 259, SW19 5AX",SW19 5AX,61,51.425335,-0.220899976
"Postcode 260, CR8 3QL",CR8 3QL,12,51.348813,-0.127732976
"Postcode 261, NW1 1SY",NW1 1SY,2,51.530391,-0.133326976
"Postcode 262, EC4Y 9BY",EC4Y 9BY,56,51.512776,-0.111520976
"Postcode 263, HA0 3EP",HA0 3EP,63,51.556548,-0.316845975
"Postcode 264, E11 4JF",E11 4JF,6,51.556625,0.000754024
"Postcode 265, SW7 4PL",SW7 4PL,79,51.498185,-0.183482976
"Postcode 266, N1 6NG",N1 6NG,75,51.527689,-0.080010976
"Postcode 267, N16 6LU",N16 6LU,35,51.569337,-0.065036975
"Postcode 268, N17 0FD",N17 0FD,16,51.598758,-0.067612989
"Postcode 269, N17 6EW",N17 6EW,3,51.596816,-0.068720975
"Postcode 270, N17 6QY",N17 6QY,15,51.594118,-0.070321976
"Postcode 271, W1U 3SF",W1U 3SF,2,51.515742,-0.154319976
"Postcode 272, TW13 7LU",TW13 7LU,365,51.444793,-0.408434977
"Postcode 273, UB6 9RS",UB6 9RS,44,51.532557,-0.368451975
"Postcode 274, DA15 9HF",DA15 9HF,5,51.44807,0.103713024
"Postcode 275, W1H 2HD",W1H 2HD,7,51.519125,-0.162484976
"Postcode 276, W7 2NJ",W7 2NJ,7,51.507927,-0.342759976
"Postcode 277, SE9 1BX",SE9 1BX,13,51.450599,0.051843012
"Postcode 278, SE21 7AF",SE21 7AF,4,51.448007,-0.088476976
"Postcode 279, SE10 9GB",SE10 9GB,296,51.48607,0.008553024
"Postcode 280, SE1 3UN",SE1 3UN,830,51.497386,-0.080778975
"Postcode 281, SE25 4NH",SE25 4NH,8,51.399055,-0.064065975
"Postcode 282, NW10 6PJ",NW10 6PJ,25,51.530534,-0.259616975
"Postcode 283, SW19 2RU",SW19 2RU,42,51.412029,-0.185321976
"Postcode 284, TW3 3GF",TW3 3GF,25,51.46778,-0.368064988
"Postcode 285, NW5 4QB",NW5 4QB,6,51.550485,-0.151197975
"Postcode 286, SW8 4AH",SW8 4AH,3,51.477048,-0.143569975
"Postcode 287, SW4 0QW",SW4 0QW,35,51.463154,-0.142966975
"Postcode 288, BR3 4FD",BR3 4FD,10,51.409463,-0.044834976
"Postcode 289, BR4 0RJ",BR4 0RJ,3,51.375436,-0.013867976
"Postcode 290, BR4 0NF",BR4 0NF,55,51.376809,-0.018994975
"Postcode 291, BR4 9JG",BR4 9JG,9,51.367987,0.002677025
"Postcode 292, TW10 6AZ",TW10 6AZ,20,51.458322,-0.300452976
"Postcode 293, BR7 5AJ",BR7 5AJ,44,51.415936,0.067980012
"Postcode 294, TW13 4TR",TW13 4TR,26,51.435924,-0.427546988
"Postcode 295, TW13 4GB",TW13 4GB,12,51.446964,-0.410013988
"Postcode 296, SM1 4QX",SM1 4QX,9,51.363927,-0.184102975
"Postcode 297, W1D 4UE",W1D 4UE,7,51.512922,-0.132426976
"Postcode 298, W2 2RR",W2 2RR,2,51.516284,-0.169373976
"Postcode 299, NW8 8AE",NW8 8AE,38,51.523631,-0.167709976
"Postcode 300, TW2 6RE",TW2 6RE,46,51.444812,-0.346153976
"Postcode 301, SE8 4PA",SE8 4PA,81,51.474998,-0.024693976
"Postcode 302, SE8 4JH",SE8 4JH,27,51.468237,-0.018391976
"Postcode 303, SE8 4HU",SE8 4HU,88,51.471907,-0.022163976
"Postcode 304, W1G 7BB",W1G 7BB,1,51.521166,-0.147036975
"Postcode 305, W1G 7JZ",W1G 7JZ,7,51.522563,-0.148320976
"Postcode 306, NW1 8BP",NW1 8BP,3,51.545111,-0.150895976
"Postcode 307, NW1 8RU",NW1 8RU,40,51.542811,-0.144603975
"Postcode 308, NW1 8LH",NW1 8LH,180,51.54008,-0.152873976
"Postcode 309, SE27 9HE",SE27 9HE,120,51.435928,-0.097742975
"Postcode 310, NW1 2SB",NW1 2SB,1,51.529808,-0.123805988
"Postcode 311, WC2B 6LH",WC2B 6LH,81,51.514046,-0.117639975
"Postcode 312, N22 6XD",N22 6XD,1,51.595522,-0.109663989
"Postcode 313, N22 8JJ",N22 8JJ,7,51.607188,-0.113699975
"Postcode 314, UB3 1EP",UB3 1EP,30,51.503785,-0.425148989
"Postcode 315, N2 9BU",N2 9BU,33,51.59338,-0.163907976
"Postcode 316, W5 5BX",W5 5BX,4,51.509389,-0.302242976
"Postcode 317, W5 5JU",W5 5JU,4,51.513809,-0.301991976
"Postcode 318, RM6 6PB",RM6 6PB,25,51.571514,0.133580025
"Postcode 319, W1C 1LW",W1C 1LW,22,51.514044,-0.157256976
"Postcode 320, SE18 1BX",SE18 1BX,1,51.48979,0.091012025
"Postcode 321, SE1 9LR",SE1 9LR,3,51.507212,-0.102196988
"Postcode 322, NW3 4XJ",NW3 4XJ,8,51.547172,-0.160720975
"Postcode 323, NW3 2QR",NW3 2QR,29,51.552902,-0.158906976
"Postcode 324, NW6 5HA",NW6 5HA,1,51.536386,-0.191075976
"Postcode 325, SE22 8NA",SE22 8NA,18,51.449284,-0.074721989
"Postcode 326, SE24 0EF",SE24 0EF,1,51.454033,-0.104575975
"Postcode 327, W1K 1QZ",W1K 1QZ,70,51.503961,-0.149147975
"Postcode 328, N22 8JA",N22 8JA,276,51.604473,-0.112093976
"Postcode 329, W1H 5NE",W1H 5NE,2,51.517817,-0.166227975
"Postcode 330, W9 2JS",W9 2JS,30,51.523268,-0.186564989
"Postcode 331, SE26 5ET",SE26 5ET,16,51.426609,-0.053795975
"Postcode 332, SE26 6JJ",SE26 6JJ,10,51.430984,-0.064356975
"Postcode 333, CR0 2XP",CR0 2XP,306,51.385145,-0.100984976
"Postcode 334, CR0 2LA",CR0 2LA,83,51.388063,-0.095747976
"Postcode 335, N8 7PR",N8 7PR,9,51.587652,-0.119604975
"Postcode 336, W1U 4PR",W1U 4PR,2,51.520293,-0.151540976
"Postcode 337, W1U 4QF",W1U 4QF,7,51.520782,-0.151708975
"Postcode 338, CR0 6LA",CR0 6LA,7,51.380912,-0.074704976
"Postcode 339, CR4 1JP",CR4 1JP,118,51.398284,-0.141429975
"Postcode 340, CR4 1SD",CR4 1SD,132,51.409852,-0.149038976
"Postcode 341, CR5 2JD",CR5 2JD,1,51.323286,-0.129088976
"Postcode 342, CR7 8RX",CR7 8RX,253,51.398569,-0.100877976
"Postcode 343, SW16 4HT",SW16 4HT,1,51.406283,-0.123632976
"Postcode 344, CR2 7DF",CR2 7DF,3,51.360092,-0.094422976
"Postcode 345, SE1 1AU",SE1 1AU,6,51.500095,-0.095709989
"Postcode 346, IG6 3XS",IG6 3XS,17,51.612846,0.120120024
"Postcode 347, E2 9PY",E2 9PY,17,51.531084,-0.044470989
"Postcode 348, EC1A 1AZ",EC1A 1AZ,364,51.524503,-0.112087988
"Postcode 349, CR9 2NS",CR9 2NS,13,51.374852,-0.094557989
"Postcode 350, W1H 5PW",W1H 5PW,56,51.514044,-0.157256989
"Postcode 351, W1G 8AL",W1G 8AL,5,51.516993,-0.147537975
"Postcode 352, N19 5QA",N19 5QA,4,51.559589,-0.137266975
"Postcode 353, W1T 1JW",W1T 1JW,509,51.517133,-0.134243988
"Postcode 354, W1T 1UF",W1T 1UF,4,51.516909,-0.131891976
"Postcode 355, TW8 0LN",TW8 0LN,1,51.490728,-0.304044988
"Postcode 356, E6 2PP",E6 2PP,3,51.531655,0.066473025
"Postcode 357, E2 6QD",E2 6QD,33,51.529867,-0.060583975
"Postcode 358, UB1 2HB",UB1 2HB,27,51.5245,-0.364523976
"Postcode 359, N17 7DH",N17 7DH,35,51.602404,-0.086533988
"Postcode 360, N17 7LN",N17 7LN,1,51.607783,-0.086018976
"Postcode 361, NW9 6LB",NW9 6LB,74,51.584013,-0.245839988
"Postcode 362, RM9 6JH",RM9 6JH,156,51.537898,0.139578025
"Postcode 363, W1K 5SY",W1K 5SY,1,51.513165,-0.146568975
"Postcode 364, RM8 1DD",RM8 1DD,9,51.561577,0.134082012
"Postcode 365, RM8 1AT",RM8 1AT,267,51.566458,0.145031025
"Postcode 366, RM11 1AA",RM11 1AA,1,51.570193,0.188367025
"Postcode 367, N1 1EA",N1 1EA,4,51.543057,-0.114478976
"Postcode 368, N1 1DN",N1 1DN,33,51.542825,-0.116653976
